Id,paper_id,publish_date,Label,type
paper_3746,2409.11527,2024-09-17,Improving LLM Reasoning with Multi-Agent Tree-of-Thought Validator Agent,paper
paper_3754,2410.13824,2024-10-17,Harnessing Webpage UIs for Text-Rich Visual Understanding,paper
paper_3757,2410.13785,2024-10-17,PopAlign: Diversifying Contrasting Patterns for a More Comprehensive Alignment,paper
paper_3765,2410.1336,2024-10-17,Retrieval-Augmented Personalization for Multimodal Large Language Models,paper
paper_3773,2502.00847,2025-02-02,SecPE: Secure Prompt Ensembling for Private and Robust Large Language Models,paper
paper_3776,2410.14059,2024-10-17,UCFE: A User-Centric Financial Expertise Benchmark for Large Language Models,paper
paper_3792,2410.16268,2024-10-21,SAM2Long: Enhancing SAM 2 for Long Video Segmentation with a Training-Free Memory Tree,paper
paper_3794,2411.11197,2024-11-17,Stealing Training Graphs from Graph Neural Networks,paper
paper_3795,2410.13861,2024-10-17,PUMA: Empowering Unified MLLM with Multi-granular Visual Generation,paper
paper_3822,2405.17956,2024-05-28,Hybrid Preference Optimization: Augmenting Direct Preference Optimization with Auxiliary Objectives,paper
paper_3823,2410.17434,2024-10-22,LongVU: Spatiotemporal Adaptive Compression for Long Video-Language Understanding,paper
paper_3843,2012.14325,2020-12-22,Digital me ontology and ethics,paper
paper_3891,2410.18057,2024-10-23,CLEAR: Character Unlearning in Textual and Visual Modalities,paper
paper_3914,2410.23743,2024-10-31,What Happened in LLMs Layers when Trained for Fast vs. Slow Thinking: A Gradient Perspective,paper
paper_3920,2501.11782,2025-01-20,Human-AI Collaborative Game Testing with Vision Language Models,paper
paper_3924,2410.24211,2024-10-31,DELTA: Dense Efficient Long-range 3D Tracking for any video,paper
paper_3930,2312.12701,2023-12-20,On the laminar solutions and stability of accelerating and decelerating channel flows,paper
paper_3936,2410.2237,2024-10-28,Survey of User Interface Design and Interaction Techniques in Generative AI Applications,paper
paper_3950,2411.02265,2024-11-04,Hunyuan-Large: An Open-Source MoE Model with 52 Billion Activated Parameters by Tencent,paper
paper_4002,2411.06272,2024-11-09,Golden Touchstone: A Comprehensive Bilingual Benchmark for Evaluating Financial Large Language Models,paper
paper_4004,2309.15508,2023-09-27,DreamCom: Finetuning Text-guided Inpainting Model for Image Composition,paper
paper_4013,2411.06424,2024-11-10,Beyond Toxic Neurons: A Mechanistic Analysis of DPO for Toxicity Reduction,paper
paper_4021,2411.08034,2024-11-12,Scaling Properties of Diffusion Models for Perceptual Tasks,paper
paper_4025,2408.03567,2024-08-07,Unlocking Exocentric Video-Language Data for Egocentric Video Representation Learning,paper
paper_4040,2411.10323,2024-11-15,The Dawn of GUI Agent: A Preliminary Case Study with Claude 3.5 Computer Use,paper
paper_4056,2411.09213,2024-11-14,Comprehensive and Practical Evaluation of Retrieval-Augmented Generation Systems for Medical Question Answering,paper
paper_4061,2411.12044,2024-11-18,"ITACLIP: Boosting Training-Free Semantic Segmentation with Image, Text, and Architectural Enhancements",paper
paper_4093,2411.12946,2024-11-20,A Flexible Large Language Models Guardrail Development Methodology Applied to Off-Topic Prompt Detection,paper
paper_4099,2411.15115,2024-11-22,VideoRepair: Improving Text-to-Video Generation via Misalignment Evaluation and Localized Refinement,paper
paper_4113,2308.07464,2023-08-14,There Is a Digital Art History,paper
paper_4133,2411.17691,2024-11-26,Low-Bit Quantization Favors Undertrained LLMs: Scaling Laws for Quantized LLMs with 100T Training Tokens,paper
paper_4145,2104.12365,2021-04-26,Efficient Hyperparameter Optimization for Physics-based Character Animation,paper
paper_4169,2411.18552,2024-11-27,FAM Diffusion: Frequency and Attention Modulation for High-Resolution Image Generation with Stable Diffusion,paper
paper_4190,2411.18933,2024-11-28,Efficient Track Anything,paper
paper_4193,2210.01177,2022-10-03,Introducing Vision Transformer for Alzheimer's Disease classification task with 3D input,paper
